"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",1,0.1,-0.1,0.1,0.8,0.2,0.1,0.1,0.1,0.1
"X2",0.1,1,-0.1,0.1,0.2,0.6,0.1,0.1,0.1,0.1
"X3",-0.1,-0.1,1,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
"X4",0.1,0.1,-0.2,1,0.1,0.1,0.1,0.1,0.1,0.1
"X5",0.8,0.2,-0.1,0.1,1,0.1,0.1,0.1,0.1,0.1
"X6",0.2,0.6,-0.1,0.1,0.1,1,0.1,0.1,0.1,0.1
"X7",0.1,0.1,-0.1,0.1,0.1,0.1,1,0.1,0.1,0.1
"X8",0.1,0.1,-0.1,0.1,0.1,0.1,0.1,1,0.1,0.1
"X9",0.1,0.1,-0.1,0.1,0.1,0.1,0.1,0.1,1,0.9
"X10",0.1,0.1,-0.1,0.1,0.1,0.1,0.1,0.1,0.9,1
